Subfuncao,Empenhada,Liquidada,Paga,Restos_Nao_Processados,Restos_Processados,Fonte_URL
06 - Segurança Pública,"72.033.097,24","63.563.637,82","63.519.428,25","8.469.459,42","44.209,57",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2020&id_ente=3548708
06.122 - Administração Geral,"2.696.312,25","2.696.105,26","2.696.105,26","206,99","0,00",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2020&id_ente=3548708
06.181 - Policiamento,"57.907.215,61","57.731.154,22","57.712.913,52","176.061,39","18.240,70",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2020&id_ente=3548708
06.182 - Defesa Civil,"8.794.078,37","623.800,33","623.800,33","8.170.278,04","0,00",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2020&id_ente=3548708
06.183 - Informação e Inteligência,"896.518,51","773.605,51","773.605,51","122.913,00","0,00",https://apidatalake.tesouro.gov.br/ords/siconfi/tt/dca?an_exercicio=2020&id_ente=3548708
