exercicio,anexo,cod_conta,conta,coluna,valor,instituicao,uf
2020,DCA-Anexo I-AB,P1.1.4.9.1.00.00,1.1.4.9.1.00.00 - (-) Ajuste de Perdas de Investimentos Temporários e Aplicações Temporárias - Consolidação,31/12/2020,281814941.59,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P1.1.5.0.0.00.00,1.1.5.0.0.00.00 - Estoques,31/12/2020,28191653.55,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P1.1.5.1.0.00.00,1.1.5.1.0.00.00 - Mercadorias para Revenda,31/12/2020,18324.4,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P1.1.5.1.1.00.00,1.1.5.1.1.00.00 - Mercadorias para Revenda - Consolidação,31/12/2020,18324.4,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P1.1.5.6.0.00.00,1.1.5.6.0.00.00 - Almoxarifado,31/12/2020,28173329.15,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P1.1.5.6.1.00.00,1.1.5.6.1.00.00 - Almoxarifado - Consolidação,31/12/2020,28173329.15,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P1.2.0.0.0.00.00,1.2.0.0.0.00.00 - Ativo não Circulante,31/12/2020,3666895541.51,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P1.2.1.0.0.00.00,1.2.1.0.0.00.00 - Ativo Realizável a Longo Prazo,31/12/2020,1708678516.37,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P1.2.1.1.0.00.00,1.2.1.1.0.00.00 - Créditos a Longo Prazo,31/12/2020,1696050661.39,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P1.2.1.1.1.00.00,1.2.1.1.1.00.00 - Créditos a Longo Prazo - Consolidação,31/12/2020,1696050661.39,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P1.2.1.1.1.04.00,1.2.1.1.1.04.00 - Dívida Ativa Tributaria,31/12/2020,1377918106.55,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P1.2.1.1.1.05.00,1.2.1.1.1.05.00 - Dívida Ativa não Tributaria,31/12/2020,450174425,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P1.2.1.1.1.99.00,1.2.1.1.1.99.00 - (-) Ajuste de Perdas de Créditos a Longo Prazo,31/12/2020,132041870.16,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P1.2.1.2.0.00.00,1.2.1.2.0.00.00 - Demais Créditos e Valores a Longo Prazo,31/12/2020,6954998.48,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P1.2.1.2.1.00.00,1.2.1.2.1.00.00 - Demais Créditos e Valores a Longo Prazo - Consolidação,31/12/2020,6954998.48,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P1.2.1.2.1.06.00,1.2.1.2.1.06.00 - Depósitos Restituíveis e Valores Vinculados,31/12/2020,6954998.48,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P1.2.1.3.0.00.00,1.2.1.3.0.00.00 - Investimentos e Aplicações Temporárias a Longo Prazo,31/12/2020,5672856.5,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P1.2.1.3.1.00.00,1.2.1.3.1.00.00 - Investimentos e Aplicações Temporárias a Longo Prazo - Consolidação,31/12/2020,5672856.5,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P1.2.1.3.1.01.00,1.2.1.3.1.01.00 - Títulos e Valores Mobiliários,31/12/2020,5672856.5,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P1.2.2.0.0.00.00,1.2.2.0.0.00.00 - Investimentos,31/12/2020,952432,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P1.2.2.7.0.00.00,1.2.2.7.0.00.00 - Demais Investimentos Permanentes,31/12/2020,952432,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P1.2.2.7.1.00.00,1.2.2.7.1.00.00 - Demais Investimentos Permanentes - Consolidação,31/12/2020,952432,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P1.2.3.0.0.00.00,1.2.3.0.0.00.00 - Imobilizado,31/12/2020,1957263593.14,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P1.2.3.1.0.00.00,1.2.3.1.0.00.00 - Bens Moveis,31/12/2020,149618079.08,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P1.2.3.1.1.00.00,1.2.3.1.1.00.00 - Bens Móveis - Consolidação,31/12/2020,149618079.08,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P1.2.3.2.0.00.00,1.2.3.2.0.00.00 - Bens Imóveis,31/12/2020,1913978590.2,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P1.2.3.2.1.00.00,1.2.3.2.1.00.00 - Bens Imóveis - Consolidação,31/12/2020,1913978590.2,Prefeitura Municipal de Sorocaba - SP,SP
2020,DCA-Anexo I-AB,P1.2.3.8.0.00.00,"1.2.3.8.0.00.00 - (-) Depreciação, Exaustão e Amortização Acumuladas",31/12/2020,106333076.14,Prefeitura Municipal de Sorocaba - SP,SP
