comunicado,ano,bimestre,processo,municipio,responsavel,incisos,url,observacao
SDG 41/2025,2025,2,6710/989/24,Sorocaba,RODRIGO MAGANHATO,"I,V",https://www.tce.sp.gov.br/sites/default/files/legislacao/COMUNICADO%20SDG%2041-2025%20-%20Alertas%202Bim_disponibilizado%20no%20dia%2014%20de%20junho%20de%202025.pdf,texto integral extraido 2026-06-01; incisos I e V confirmados na pagina 18 do PDF
SDG 48/2025,2025,3,6710/989/24,Sorocaba,RODRIGO MAGANHATO,"I,V",https://www.tce.sp.gov.br/sites/default/files/legislacao/COMUNICADO-SDG-48-2025-JUNHO_disponibilizado%20no%20dia%2013%20de%20agosto%20de%202025.pdf,texto integral extraido 2026-06-01; incisos I e V confirmados na pagina 17 do PDF
SDG 57/2025,2025,4,6710/989/24,Sorocaba,RODRIGO MAGANHATO,"I,V",https://www.tce.sp.gov.br/sites/default/files/legislacao/COMUNICADO-SDG-57-2025-OUTUBRO_disponibilizado%20no%20dia%2010%20de%20outubro%20de%202025.pdf,texto integral extraido 2026-06-01; incisos I e V confirmados na pagina 17 do PDF
SDG 75/2025,2025,5,6710/989/24,Sorocaba,RODRIGO MAGANHATO,"I,V",https://www.tce.sp.gov.br/sites/default/files/legislacao/Comunicado%20SDG%2075-2025%20-%20Alertas%205-BIM%20CORRIGIDO.pdf,texto integral extraido 2026-06-01; incisos I e V confirmados na pagina 17 do PDF
